id;farm_type;owner_name;relationship_with_owner;area_in_acres;farm_document_no;is_active;createdd_by;created_time;updated_by;updated_time
1;Other;versus dream tensely;through;15395.35;legal;true;or nippy;2025-03-24T14:41:41;govern upon;2025-03-24T23:42:58
2;Leased;aside;rigid toothbrush ripe;5949.29;dense politely barge;false;reconstitute and;2025-03-24T16:25:45;proceed rapidly;2025-03-25T03:23:49
3;Family;late;approach;22933.82;even pastel hence;true;understated deploy;2025-03-25T03:27:29;ah;2025-03-25T00:45:13
4;Leased;dissemble;assured official;965.45;dreary accomplished;false;analyse so wry;2025-03-25T07:24:57;consequently qua including;2025-03-24T11:32:51
5;Other;furthermore schematise;supposing sternly;31482.12;immense;true;closed;2025-03-24T22:01:13;dismal confiscate vice;2025-03-25T01:52:10
6;Other;foodstuffs;outbid promise;11729.02;lovingly circa;false;harvest jiggle;2025-03-24T20:40:54;brisk railway mobility;2025-03-24T23:15:20
7;Other;which;athwart deploy;24443.14;direct;false;westernise;2025-03-24T22:02:32;readies deserted;2025-03-25T07:21:07
8;Other;however whoever;or deceivingly though;7773.7;inside voluntarily clonk;false;best-seller;2025-03-25T07:49:51;option leading before;2025-03-25T06:53:10
9;Own;openly rule;sneak;11508.85;for but;false;front lashes;2025-03-24T20:01:18;nor;2025-03-24T15:15:39
10;Other;creak boo cloudy;sociable properly;13010.61;unselfish happily;false;scarcely furthermore;2025-03-25T09:08:11;cycle;2025-03-25T04:41:39
